"","T_MAPCODE","tar_sa","tar_gbf","ext_veg","ext_vegpa","ext_vegrempa_inclinv","ext_vegrempa_exclinv","prppa","ext_tar_sa","ext_tar_gbf","epl_base","epl_nat","epl_nat_exclinv"
"342","SVk17",16,30,7235.3844,26.4168,24.1736,24.1736,0.00365105688095853,1157.661504,2170.61532,"NP","NP","NP"
"343","AZa5",31,30,3235.1676,479.7744,199.6604,199.376,0.14829970478191,1002.901956,970.55028,"PP","PP","PP"
"344","FOa1",36,30,132.5436,53.4188,50.2616,49.9864,0.40302813564744,47.715696,39.76308,"WP","WP","WP"
"345","FOz8",36,30,265.4912,111.778,108.9044,108.8944,0.421023371019454,95.576832,79.64736,"WP","WP","WP"
"346","FOz4",22,30,379.0448,216.9372,189.8448,182.8372,0.572326015288958,83.389856,113.71344,"WP","WP","WP"
"347","FOz9",36,30,68.7992,32.3496,32.3484,31.232,0.470203141896999,24.767712,20.63976,"WP","WP","WP"
"348","CB1",25,30,2355.7416,433.8392,363.4108,361.5228,0.184162473507281,588.9354,706.72248,"MP","MP","MP"
"349","Gd10",27,30,78.8828,55.1024,53.1668,53.1644,0.698535041859569,21.298356,23.66484,"WP","WP","WP"
"350","Gd5",27,30,1218.5104,486.216,478.8352,475.9492,0.399024907789051,328.997808,365.55312,"WP","WP","WP"
"351","Gd6",27,30,17.5824,13.5104,13.4884,13.1032,0.768404768404768,4.747248,5.27472,"WP","WP","WP"
"352","Gd7",27,30,1343.4028,1069.3428,1068.6548,1067.7696,0.795995661167298,362.718756,403.02084,"WP","WP","WP"
"353","Gh10",24,30,25965.724,415.7976,178.2516,178.054,0.0160133258752962,6231.77376,7789.7172,"PP","NP","NP"
"354","Gh11",24,30,923.5568,3.3916,3.3864,3.3864,0.00367232421438508,221.653632,277.06704,"NP","NP","NP"
"355","Gh12",24,30,329.4952,0.2512,0.2172,0.2172,0.000762378329031804,79.078848,98.84856,"NP","NP","NP"
"356","Gh15",24,30,8598.4796,660.7764,579.9928,576.3308,0.0768480511368545,2063.635104,2579.54388,"PP","PP","PP"
"357","Gh5",24,30,4949.5984,161.4116,72.5672,72.5356,0.0326110498176983,1187.903616,1484.87952,"PP","PP","PP"
"358","Gh6",24,30,16012.9004,503.6336,350.8104,349.4868,0.0314517412473258,3843.096096,4803.87012,"PP","PP","PP"
"359","Gh7",28,30,1571.9508,76.2432,67.8852,67.2444,0.0485022813691115,440.146224,471.58524,"PP","PP","PP"
