"","T_MAPCODE","tar_sa","tar_gbf","ext_veg","ext_vegpa18","ext_vegrempa18","ext_invpa18","prp_pa_base18","ext_tar_sa","ext_tar_gbf","epl_base18","epl_nat18","ext_vegrempa_inv18","epl_nat_inv18"
"62","FS4",24,30,61.564,10.5132,9.3648,0.3896,0.170768631018127,14.77536,18.4692,"MP","MP",9.09208,"MP"
"63","FS5",24,30,344.3644,183.18,174.5264,26.7988,0.531936518408988,82.647456,103.30932,"WP","WP",155.76724,"WP"
"64","FS6",24,30,398.9228,76.7864,70.834,19.8608,0.19248436038251,95.741472,119.67684,"MP","MP",56.93144,"MP"
"65","FRc2",27,30,209.756,1.2604,0.4416,0.022,0.00600888651576117,56.63412,62.9268,"NP","NP",0.4262,"NP"
"66","FRs12",27,30,2027.506,12.6004,6.9304,0.136,0.0062147288343413,547.42662,608.2518,"NP","NP",6.8352,"NP"
"67","FRs13",27,30,2762.57,42.4996,6.68,0.6596,0.0153840807653743,745.8939,828.771,"PP","NP",6.21828,"NP"
"68","FFs27",23,30,2402.9412,1112.0536,1107.8644,57.5312,0.46278851933622,552.676476,720.88236,"WP","WP",1067.59256,"WP"
"69","FFs28",23,30,4052.18,1080.8716,1069.6924,56.824,0.266738298890967,932.0014,1215.654,"WP","WP",1029.9156,"WP"
"70","FFs2",29,30,1343.1468,70.4092,67.9724,1.3536,0.0524210756411734,389.512572,402.94404,"PP","PP",67.02488,"PP"
"71","FFh6",30,30,279.4916,70.6156,25.4488,5.2508,0.252657324942861,83.84748,83.84748,"MP","PP",21.77324,"PP"
"72","FRc1",26,30,101.0616,0.624,0.1412,0.0544,0.00617445201738346,26.276016,30.31848,"NP","NP",0.10312,"NP"
"73","FRs9",26,30,4963.7544,88.816,43.814,9.0372,0.0178929078360525,1290.576144,1489.12632,"PP","NP",37.48796,"NP"
"74","FRa1",27,30,497.676,4.7896,4.228,0.8072,0.00962393203610381,134.37252,149.3028,"NP","NP",3.66296,"NP"
"75","FRg3",27,30,19.1756,5.5196,5.5196,0.6528,0.287844969648929,5.177412,5.75268,"WP","WP",5.06264,"MP"
"76","FRs11",27,30,1193.6704,13.4396,5.2304,0.5556,0.0112590544257443,322.291008,358.10112,"NP","NP",4.84148,"NP"
"77","FRs8",27,30,1049.7592,70.4024,64.7244,4.1976,0.0670652850672802,283.434984,314.92776,"PP","PP",61.78608,"PP"
"78","FFb5",27,30,108.3896,47.1164,46.2156,1.66,0.434694841571516,29.265192,32.51688,"WP","WP",45.0536,"WP"
"79","FFh10",23,30,283.2676,131.5828,130.3252,19.6,0.464517650447845,65.151548,84.98028,"WP","WP",116.6052,"WP"
"80","FFq5",23,30,388.8108,0,0,0,0,89.426484,116.64324,"NP","NP",0,"NP"
"81","FFq6",23,30,683.2776,154.99,154.2936,20.5048,0.226833134878123,157.153848,204.98328,"MP","MP",139.94024,"MP"
"82","FFs18",23,30,878.8052,98.3376,96.9732,1.9284,0.111899201324708,202.125196,263.64156,"PP","PP",95.62332,"PP"
"83","FRs16",29,30,1347.8644,33.6232,31.5584,0.0396,0.0249455360643103,390.880676,404.35932,"PP","PP",31.53068,"PP"
"84","FRs17",29,30,207.1384,1.1872,0.8504,0.0356,0.0057314336694693,60.070136,62.14152,"NP","NP",0.82548,"NP"
"85","FRs18",29,30,118.7224,82.4936,82.4908,0.2248,0.694844443845475,34.429496,35.61672,"WP","WP",82.33344,"WP"
"86","FRs20",28,30,46.9912,0,0,0,0,13.157536,14.09736,"NP","NP",0,"NP"
"87","FRd1",27,30,219.4944,7.0712,7.0488,0.0984,0.0322158560765104,59.263488,65.84832,"PP","PP",6.97992,"PP"
"88","FRd2",27,30,578.926,2.4464,2.4464,0,0.00422575596881121,156.31002,173.6778,"NP","NP",2.4464,"NP"
"89","FRs1",27,30,207.306,14.0868,14.0352,0.7384,0.0679517235391161,55.97262,62.1918,"PP","PP",13.51832,"PP"
"90","FRs2",27,30,218.8368,0.1924,0.1804,0.0228,0.000879193992966448,59.085936,65.65104,"NP","NP",0.16444,"NP"
"91","FRs3",27,30,3217.472,110.3376,105.778,0,0.0342932588069143,868.71744,965.2416,"PP","PP",105.778,"PP"
"92","FRs5",27,30,1236.5136,0,0,0,0,333.858672,370.95408,"NP","NP",0,"NP"
"93","FFg1",27,30,64.8176,0,0,0,0,17.500752,19.44528,"NP","NP",0,"NP"
"94","FRg1",27,30,305.5396,2.872,2.862,0,0.00939976356583565,82.495692,91.66188,"NP","NP",2.862,"NP"
"95","FFa1",29,30,180.0652,21.4064,12.3248,0.2556,0.118881382965726,52.218908,54.01956,"PP","PP",12.14588,"PP"
"96","FFb1",29,30,279.0688,213.4364,209.4236,2.6536,0.764816418030249,80.929952,83.72064,"WP","WP",207.56608,"WP"
"97","FFh1",29,30,427.9772,79.604,72.1148,0.978,0.186000562646795,124.113388,128.39316,"MP","MP",71.4302,"MP"
"98","FFq2",29,30,1646.1872,410.608,404.8172,0.0624,0.249429712489564,477.394288,493.85616,"MP","MP",404.77352,"MP"
"99","FFs1",29,30,1014.1516,75.6272,74.1996,0.3572,0.0745718884632238,294.103964,304.24548,"PP","PP",73.94956,"PP"
"100","FFs3",29,30,498.2384,347.3252,339.5024,12.6132,0.697106445428534,144.489136,149.47152,"WP","WP",330.67316,"WP"
"101","FFs30",29,30,37.5252,37.5052,37.4712,0.0016,0.999467024825984,10.882308,11.25756,"WP","WP",37.47008,"WP"
"102","FFs4",29,30,2523.64,1443.4112,1426.9232,9.2316,0.571956063463886,731.8556,757.092,"WP","WP",1420.46108,"WP"
"103","FFs5",29,30,1135.986,923.0744,911.3948,13.3684,0.812575507092517,329.43594,340.7958,"WP","WP",902.03692,"WP"
"104","FFs6",29,30,422.8764,40.6268,34.814,2.2584,0.0960725166975504,122.634156,126.86292,"PP","PP",33.23312,"PP"
"105","FFs7",29,30,394.0712,312.372,310.63,3.1888,0.792679089464036,114.280648,118.22136,"WP","WP",308.39784,"WP"
"106","FFs8",29,30,319.7464,291.4492,290.7796,6.8024,0.911501114633347,92.726456,95.92392,"WP","WP",286.01792,"WP"
"107","FFc1",30,30,869.1648,48.9556,40.6748,5.2196,0.0563248764791211,260.74944,260.74944,"PP","PP",37.02108,"PP"
"108","FFh8",30,30,186.7676,23.912,23.2348,0.0976,0.128030771932605,56.03028,56.03028,"PP","PP",23.16648,"PP"
"109","FFs16",30,30,1215.3228,912.0192,907.2304,91.8976,0.750433711932336,364.59684,364.59684,"WP","WP",842.90208,"WP"
"110","FFa2",30,30,501.6496,20.8644,17.4932,4.6296,0.0415915810557808,150.49488,150.49488,"PP","PP",14.25248,"PP"
"111","FFa3",30,30,477.154,57.084,40.0052,3.974,0.119634331892848,143.1462,143.1462,"PP","PP",37.2234,"PP"
"112","FFd8",30,30,97.686,2.8096,1.9104,0.3496,0.0287615420838196,29.3058,29.3058,"PP","PP",1.66568,"PP"
"113","FFg4",30,30,16.934,7.0332,7.0152,0.7732,0.415330105113972,5.0802,5.0802,"WP","WP",6.47396,"WP"
"114","FFh4",30,30,316.876,94.394,92.224,12.1828,0.297889395220843,95.0628,95.0628,"MP","MP",83.69604,"MP"
"115","FFh7",30,30,266.618,21.036,17.226,5.7536,0.0788993991403431,79.9854,79.9854,"PP","PP",13.19848,"PP"
"116","FFq4",30,30,97.856,7.3928,7.3556,0.0148,0.0755477436232832,29.3568,29.3568,"PP","PP",7.34524,"PP"
"117","FFs10",30,30,1050.6224,934.9516,928.608,88.8748,0.889902594880901,315.18672,315.18672,"WP","WP",866.39564,"WP"
"118","FFs13",30,30,531.504,379.5584,375.9264,10.53,0.714121436527289,159.4512,159.4512,"WP","WP",368.5554,"WP"
"119","FFs14",30,30,358.8828,267.6308,265.73,38.8024,0.745733147423059,107.66484,107.66484,"WP","WP",238.56832,"WP"
"120","FRa2",26,30,63.072,0,0,0,0,16.39872,18.9216,"NP","NP",0,"NP"
"121","FFb3",27,30,97.8776,90.2636,90.202,1.0944,0.922208963031378,26.426952,29.36328,"WP","WP",89.43592,"WP"
"122","FFh2",27,30,106.534,38.0964,38.0944,0.0016,0.357598513150731,28.76418,31.9602,"WP","WP",38.09328,"WP"
"123","FFh3",27,30,75.1268,8.6104,8.4748,0.3476,0.114611563383506,20.284236,22.53804,"PP","PP",8.23148,"PP"
"124","FFq3",27,30,1268.0852,113.078,112.7568,0.0012,0.089172241738962,342.383004,380.42556,"PP","PP",112.75596,"PP"
"125","FFs21",27,30,318.3396,198.754,198.7044,0.8928,0.624345824396336,85.951692,95.50188,"WP","WP",198.07944,"WP"
"126","FFs22",27,30,388.3256,190.5132,190.4848,1.3816,0.490601701252763,104.847912,116.49768,"WP","WP",189.51768,"WP"
"127","FFs23",27,30,852.1924,691.5704,689.5964,0.6884,0.811519088881807,230.091948,255.65772,"WP","WP",689.11452,"WP"
"128","FFs24",27,30,1084.7884,878.3572,877.4792,7.0776,0.809703717333261,292.892868,325.43652,"WP","WP",872.52488,"WP"
"129","FFs25",27,30,332.5684,263.664,263.4132,0.9296,0.792811343470997,89.793468,99.77052,"WP","WP",262.76248,"WP"
"130","FFs26",27,30,304.1844,216.2376,214.138,5.0316,0.71087669190136,82.129788,91.25532,"WP","WP",210.61588,"WP"
"131","FFs31",29,30,50.8348,50.8132,50.8064,0.0056,0.99957509422679,14.742092,15.25044,"WP","WP",50.80248,"WP"
"132","FFs32",29,30,547.9488,0.0044,0.004,0,0.00000802994732354556,158.905152,164.38464,"NP","NP",0.004,"NP"
"133","FFt1",27,30,404.9544,47.8372,47.5364,0.8416,0.118129843755248,109.337688,121.48632,"PP","PP",46.94728,"PP"
"134","FRl1",29,30,501.6888,13.8284,13.8108,1.4,0.0275637008440292,145.489752,150.50664,"PP","PP",12.8308,"PP"
"135","FRs15",29,30,276.4104,26.1616,25.7884,0.17,0.0946476688286692,80.159016,82.92312,"PP","PP",25.6694,"PP"
"136","FRs4",27,30,491.7496,8.7844,7.3936,0.2316,0.0178635630816985,132.772392,147.52488,"PP","PP",7.23148,"PP"
"137","FRs6",27,30,2095.8456,249.9088,237.872,0.9264,0.119240081425845,565.878312,628.75368,"PP","PP",237.22352,"PP"
"138","FRs7",27,30,1607.8492,97.0672,96.0904,0.714,0.0603708357724095,434.119284,482.35476,"PP","PP",95.5906,"PP"
"139","FRs14",27,30,866.5308,1.5884,1.5492,0.6404,0.001833056597642,233.963316,259.95924,"NP","NP",1.10092,"NP"
"140","FFb6",27,30,78.0444,8.6012,6.9296,2.3892,0.11020906048352,21.071988,23.41332,"PP","PP",5.25716,"PP"
"141","FFd10",23,30,151.6788,61.4424,19.83,10.9484,0.40508231868923,34.886124,45.50364,"WP","MP",12.16612,"PP"
"142","FFh9",23,30,563.6392,64.3972,38.6472,19.882,0.114252521826019,129.637016,169.09176,"PP","PP",24.7298,"PP"
"143","FFa4",30,30,35.8392,9.7476,2.0092,0.7952,0.271981517444586,10.75176,10.75176,"MP","PP",1.45256,"PP"
"144","FFd3",30,30,1009.5924,89.226,79.9788,6.8164,0.0883782405652024,302.87772,302.87772,"PP","PP",75.20732,"PP"
"145","FFd4",30,30,689.0436,46.572,36.5004,6.994,0.0675893368721515,206.71308,206.71308,"PP","PP",31.6046,"PP"
"146","FFd5",30,30,556.9336,12.5228,7.8852,1.1912,0.0224852657480174,167.08008,167.08008,"PP","NP",7.05136,"NP"
"147","FFf2",30,30,40.588,2.242,1.4112,0.168,0.0552380013797181,12.1764,12.1764,"PP","PP",1.2936,"PP"
"148","FFh11",30,30,12.6292,7.456,5.1252,1.7348,0.59037785449593,3.78876,3.78876,"WP","WP",3.91084,"WP"
"149","FFh5",30,30,84.0044,36.7484,25.5796,6.3984,0.4374580379123,25.20132,25.20132,"WP","WP",21.10072,"MP"
"150","FFs11",30,30,914.2348,704.3392,677.7076,29.1272,0.770413902424191,274.27044,274.27044,"WP","WP",657.31856,"WP"
"151","FFs12",30,30,1179.408,137.2288,129.1536,4.4788,0.11635396741416,353.8224,353.8224,"PP","PP",126.01844,"PP"
"152","FFs9",30,30,219.4464,193.7516,186.2328,19.2104,0.882910815579567,65.83392,65.83392,"WP","WP",172.78552,"WP"
"153","FS10",36,30,322.876,146.5236,146.0692,54.6348,0.453807653712261,116.23536,96.8628,"WP","WP",107.82484,"MP"
"154","Gh1",24,30,8370.6212,2323.6232,2306.23,1.2036,0.277592683324387,2008.949088,2511.18636,"WP","WP",2305.38748,"WP"
"155","Gh4",28,30,9677.7704,650.6456,528.2592,0.3496,0.0672309398867326,2709.775712,2903.33112,"PP","PP",528.01448,"PP"
"156","Gs17",28,30,4242.1876,211.8756,210.022,0.0456,0.0499448916403414,1187.812528,1272.65628,"PP","PP",209.99008,"PP"
"157","NKb3",21,30,41253.296,231.7764,231.0644,0,0.00561837289316228,8663.19216,12375.9888,"NP","NP",231.0644,"NP"
"158","NKb4",21,30,2677.2,0,0,0,0,562.212,803.16,"NP","NP",0,"NP"
"159","NKb6",21,30,41250.6684,0,0,0,0,8662.640364,12375.20052,"NP","NP",0,"NP"
"160","NKl1",16,30,20205.9452,495.2044,493.2976,0,0.0245078562323331,3232.951232,6061.78356,"PP","PP",493.2976,"PP"
"161","NKl2",16,30,8321.3632,1282.8832,1257.454,0.2096,0.154167432566818,1331.418112,2496.40896,"MP","MP",1257.30728,"MP"
"162","NKu1",21,30,17149.5756,2.7992,2.7988,0,0.00016322269805907,3601.410876,5144.87268,"NP","NP",2.7988,"NP"
"163","NKu2",21,30,11734.2756,1360.544,1357.6336,0.8256,0.115946143279607,2464.197876,3520.28268,"MP","MP",1357.05568,"MP"
"164","NKu3",21,30,42273.7272,248.1084,217.7148,0.3304,0.00586909213910052,8877.482712,12682.11816,"NP","NP",217.48352,"NP"
"165","NKu4",21,30,49834.4344,3433.5984,3145.3684,1.5716,0.0689001177868289,10465.231224,14950.33032,"PP","PP",3144.26828,"PP"
"166","SKs14",26,30,838.9456,97.6188,97.3452,0,0.116358915286045,218.125856,251.68368,"PP","PP",97.3452,"PP"
"167","SKs7",26,30,3151.7932,220.8848,219.4692,0.002,0.0700822630114184,819.466232,945.53796,"PP","PP",219.4678,"PP"
"168","SKs8",26,30,868.0312,174.0004,173.512,0,0.200454085060537,225.688112,260.40936,"MP","MP",173.512,"MP"
"169","SKs9",26,30,917.3924,104.5556,104.3528,0,0.113970423125371,238.522024,275.21772,"PP","PP",104.3528,"PP"
"170","SKk3",28,30,1320.886,392.21,390.604,0,0.29692948520917,369.84808,396.2658,"WP","WP",390.604,"WP"
"171","SKs12",26,30,469.9288,34.8776,30.6484,0,0.074218902948702,122.181488,140.97864,"PP","PP",30.6484,"PP"
"172","SKk1",28,30,1673.774,240.0172,239.768,0,0.143398810114149,468.65672,502.1322,"MP","MP",239.768,"MP"
"173","SKk2",28,30,129.9056,47.1984,46.8252,0,0.363328447734355,36.373568,38.97168,"WP","WP",46.8252,"WP"
"174","SKk4",28,30,983.548,123.0472,122.8892,0,0.125105434610207,275.39344,295.0644,"PP","PP",122.8892,"PP"
"175","SKk5",28,30,988.53,12.7788,12.774,0,0.0129270735334284,276.7884,296.559,"NP","NP",12.774,"NP"
"176","SKk6",28,30,59.8264,10.8888,10.8608,0,0.182006605779388,16.751392,17.94792,"MP","MP",10.8608,"MP"
"177","SKk7",28,30,185.2136,4.5328,4.2396,0.014,0.024473364806904,51.859808,55.56408,"PP","PP",4.2298,"PP"
"178","SKk8",26,30,2.86,0,0,0,0,0.7436,0.858,"NP","NP",0,"NP"
"179","SKk9",29,30,142.7656,0.3384,0.3384,0.0032,0.00237031890035134,41.402024,42.82968,"NP","NP",0.33616,"NP"
"180","SKn1",28,30,7582.1624,500.8276,491.1876,0,0.0660533992255296,2123.005472,2274.64872,"PP","PP",491.1876,"PP"
"181","SKn3",28,30,3107.996,67.7176,60.6472,0,0.0217881876295851,870.23888,932.3988,"PP","PP",60.6472,"PP"
"182","SKn4",28,30,5040.6136,255.8332,253.8132,0,0.0507543764116337,1411.371808,1512.18408,"PP","PP",253.8132,"PP"
"183","SKn5",28,30,653.3436,1.6072,1.6072,0,0.0024599613434646,182.936208,196.00308,"NP","NP",1.6072,"NP"
"184","SKn6",28,30,396.7944,2.9232,2.9216,0,0.00736703945418585,111.102432,119.03832,"NP","NP",2.9216,"NP"
"185","SKn7",28,30,997.1488,20.886,20.886,0,0.0209457204381131,279.201664,299.14464,"PP","PP",20.886,"PP"
"186","SKs10",28,30,136.4288,98.3304,96.0312,0,0.720745179903364,38.200064,40.92864,"WP","WP",96.0312,"WP"
"187","SKs11",26,30,286.9792,85.8156,85.73,0,0.299030731147066,74.614592,86.09376,"WP","WP",85.73,"WP"
"188","SKs13",29,30,201.1296,0.0896,0.0896,0,0.000445483906893863,58.327584,60.33888,"NP","NP",0.0896,"NP"
"189","SKv1",19,30,540.74,0.7956,0.6956,0.002,0.00147131708399601,102.7406,162.222,"NP","NP",0.6942,"NP"
"190","SKv10",16,30,240.126,13.0792,12.9008,0,0.0544680709294287,38.42016,72.0378,"PP","PP",12.9008,"PP"
"191","SKv11",16,30,1578.5704,12.0756,12.0604,0.0016,0.0076497063418901,252.571264,473.57112,"NP","NP",12.05928,"NP"
"192","SKv13",16,30,2555.2608,69.6612,63.7568,0,0.0272618747957156,408.841728,766.57824,"PP","PP",63.7568,"PP"
"193","SKv14",16,30,793.3056,0,0,0,0,126.928896,237.99168,"NP","NP",0,"NP"
"194","SKv2",19,30,559.3864,68.7072,68.7,0,0.122826010786104,106.283416,167.81592,"MP","MP",68.7,"MP"
"195","SKv3",19,30,928.5724,16.0912,15.7172,0.036,0.0173289664866197,176.428756,278.57172,"PP","PP",15.692,"PP"
"196","SKv4",19,30,1318.3684,185.9628,184.6456,0,0.141055261943475,250.489996,395.51052,"MP","MP",184.6456,"MP"
"197","SKv5",19,30,6988.3064,978.2868,974.2096,0,0.139989110952548,1327.778216,2096.49192,"MP","MP",974.2096,"MP"
"198","SKv6",19,30,4714.4892,13.944,13.8408,0,0.00295769051714022,895.752948,1414.34676,"NP","NP",13.8408,"NP"
"199","SKv7",16,30,653.3552,21.0928,19.3856,0.1976,0.0322838174395796,104.536832,196.00656,"PP","PP",19.24728,"PP"
"200","SKv8",16,30,4109.0248,380.8408,375.9848,0.0628,0.0926839867211315,657.443968,1232.70744,"MP","MP",375.94084,"MP"
"201","SKt1",18,30,101.7792,0,0,0,0,18.320256,30.53376,"NP","NP",0,"NP"
"202","SKt2",18,30,7632.554,20.8468,20.5604,0,0.00273130068912713,1373.85972,2289.7662,"NP","NP",20.5604,"NP"
"203","SKt3",18,30,5357.996,3.4936,3.294,0,0.000652034827946867,964.43928,1607.3988,"NP","NP",3.294,"NP"
"204","FS11",36,30,39.6004,9.8608,9.8304,4.5612,0.249007585781962,14.256144,11.88012,"MP","MP",6.63756,"PP"
"205","FS12",36,30,119.0592,18.2376,17.5472,1.5152,0.153180938558297,42.861312,35.71776,"PP","PP",16.48656,"PP"
"206","AT21",19,30,386.3068,11.7664,7.9676,0.1748,0.0304586924175293,73.398292,115.89204,"PP","PP",7.84524,"PP"
"207","AT31",19,30,240.8016,6.524,6.5228,0.1708,0.027092843236922,45.752304,72.24048,"PP","PP",6.40324,"PP"
"208","AT38",19,30,1290.854,171.4556,140.6624,4.99,0.132823386688192,245.26226,387.2562,"MP","MP",137.1694,"MP"
